Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
"Blue Cross and Blue Shield of Alabama",Healthcare/Insurance,"Hoover (450 Riverchase Pkwy E, Hoover AL 35244)",https://www.bcbsal.org,https://www.linkedin.com/company/blue-cross-and-blue-shield-of-alabama,"The Caring Foundation grantees statewide; United Way of Central Alabama; Be Healthy School Grant recipients (30 schools/year); Alabama nonprofits focused on health, wellness, and education","https://www.bcbsal.org/web/the-caring-foundation.html; https://www.bcbsal.org/web/community-involvement.html","The Caring Foundation (est. 1990) provides grants to charitable organizations statewide focused on health, wellness, and education; Be Healthy School Grant Program awards up to $10,000 to ~30 schools annually ($250,000+ per year); Corporate giving and sponsorship requests accepted year-round; Employee United Way campaigns; Community health and wellness event sponsorships; BlueCross BlueShield of Alabama Kids Marathon in Hoover"
"Wiregrass Electric Cooperative",Electric Utility,"Dothan area (509 State Hwy 167 N, Hartford AL 36344)",https://www.wiregrass.coop,https://www.facebook.com/WiregrassElectric,"Operation Round Up Charitable Foundation recipients; Lifted Higher Ministries; Wallace Community College (scholarships); local volunteer fire departments; schools; churches; Silent Heroes of the Wiregrass honorees; Wiregrass Area United Way","https://www.wiregrass.coop/community/giving-back/operation-round-up/; https://www.wiregrass.coop/community/giving-back/sponsorships-donations/","Operation Round Up program (~$120,000 annually from member bill round-ups); Scholarships for traditional and nontraditional college students; Silent Heroes of the Wiregrass recognition program with WTVY News 4 ($1,000 awards); Grants to nonprofits, volunteer fire departments, schools, and community organizations across Houston, Geneva, Covington, Coffee, Dale, and Henry Counties; Revolving Loan Fund; Media partnerships; Sponsorships and donations to community events"
"United Launch Alliance (ULA)",Aerospace/Rocket Manufacturing,"Decatur (1800 Hwy 20 W, Decatur AL 35601)",https://www.ulalaunch.com,https://www.linkedin.com/company/united-launch-alliance,"United Way of Morgan County; Decatur-Morgan County schools; STEM education programs; local community organizations; workforce development initiatives","https://www.ulalaunch.com/about","$317M facility investment in Decatur community; STEM education partnerships with local schools; Workforce development and apprenticeship programs; Employee volunteer hours; Community event sponsorships; Support for Morgan County education and economic development initiatives; Partnership with local career academies"
"East Alabama Medical Center (East Alabama Health)",Healthcare,"Auburn (2000 Pepperell Pkwy, Opelika AL 36801)",https://www.eamc.org,https://www.linkedin.com/company/east-alabama-medical-center,"Auburn University School of Nursing ($1M gift); EAMC Foundation; Food Bank of East Alabama; Auburn University Dream Makers (NICU equipment); United Way of Lee County; Lee County schools","https://auburngiving.org/east-alabama-medical-center-leads-giving-for-new-auburn-nursing-building/; https://www.eamc.org","$1M philanthropic commitment to Auburn University School of Nursing building; EAMC Foundation fundraising for patient care and equipment; Child Life Specialist program jointly funded with Auburn University; Free community health screenings and fairs; NICU equipment fundraising via Auburn University Dream Makers; Workforce training and nursing education support; Employee volunteer hours"
"Toyota Motor Manufacturing Alabama",Automotive Manufacturing,"Madison (175 Toyota Blvd, Huntsville AL 35824)",https://www.toyota.com/usa/operations/map/tmmal,https://www.linkedin.com/company/toyota-motor-north-america,"United Way of Madison County; Madison County schools; local STEM education programs; environmental conservation organizations; Habitat for Humanity; food banks","https://www.toyota.com/usa/community","Toyota USA Foundation STEM education grants; Employee volunteer programs; United Way corporate campaigns; Adopt-A-School partnerships; Environmental stewardship programs; Community event sponsorships; In-kind donations to local schools and nonprofits; Workforce development and apprenticeship training"
"North Alabama Electric Cooperative",Electric Utility,"Florence (16140 US-72, Rogersville AL 35652)",https://www.naec.com,https://www.facebook.com/NorthAlabamaElectricCooperative,"Operation Round Up Foundation recipients; United Way of the Shoals; local volunteer fire departments; Shoals Habitat for Humanity; schools in Lauderdale, Colbert, Franklin, and Lawrence Counties","https://www.naec.com","Operation Round Up charitable program generating grants for community organizations; Scholarships for area students; Donations to volunteer fire departments; Community event sponsorships; Support for local schools and educational programs; Disaster relief assistance; Employee volunteer hours"
"Nucor Steel Tuscaloosa (Gadsden operations)",Steel Manufacturing,"Gadsden (4301 Ivey Ln, Gadsden AL 35907)",https://www.nucor.com,https://www.linkedin.com/company/nucor-corporation,"United Way of Etowah County; Big Brothers Big Sisters of Northeast Alabama; Boys & Girls Club of Gadsden/Etowah County; Community Foundation of Northeast Alabama; local schools and workforce programs","https://nucor.com/sustainability","Nucor Foundation grants to education and community organizations; Employee volunteer hours; United Way corporate campaigns; STEM education support; Workforce development and apprenticeship programs; Community event sponsorships; Environmental stewardship initiatives"
"Protective Life Corporation",Insurance/Financial Services,"Vestavia Hills (2801 Hwy 280 S, Birmingham AL 35223)",https://www.protective.com,https://www.linkedin.com/company/protective,"Protective Life Foundation grantees; United Way of Central Alabama; Birmingham Education Foundation; local schools and youth programs; Vestavia Hills community organizations","https://www.protective.com/about/corporate-responsibility","Protective Life Foundation charitable grants; Employee matching gift program; United Way corporate campaign; Community volunteer events; Education and youth program sponsorships; Financial literacy programs; Employee volunteer hours in Vestavia Hills and greater Birmingham"
"International Paper - Prattville Mill",Paper/Packaging Manufacturing,"Prattville (3901 International Paper Blvd, Prattville AL 36067)",https://www.internationalpaper.com,https://www.linkedin.com/company/international-paper,"United Way of the River Region; Prattville area schools (Adopt-A-School); local food banks; Habitat for Humanity; environmental education programs; Autauga County nonprofits","https://www.internationalpaper.com/planet/communities","IP Foundation grants to education and environmental nonprofits; Employee volunteer hours and matching gifts program; United Way corporate campaigns; Environmental education partnerships; Community event sponsorships; In-kind paper and supply donations to schools and nonprofits"
"Synovus Bank (Phenix City)",Banking/Financial Services,"Phenix City (Chattahoochee Valley area)",https://www.synovus.com,https://www.linkedin.com/company/synovus,"United Way of the Chattahoochee Valley; Phenix City schools; Habitat for Humanity of the Chattahoochee Valley; local youth programs and community organizations","https://www.synovus.com/about-us/community","Synovus Foundation grants to community organizations; Employee volunteer programs; Financial literacy education; United Way corporate campaign; Community development lending; Scholarship programs; Event sponsorships in the Phenix City-Columbus metro area"
