Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
Regions Financial Corporation,Banking & Financial Services,Downtown Birmingham,https://www.regions.com,https://www.linkedin.com/company/regions-financial-corporation,"United Way of Central Alabama; Operation Hope; Community Foundation of Greater Birmingham; Red Mountain Theatre; Birmingham Promise; various low-to-moderate income community service programs","https://www.regions.com/about-regions/community-engagement/regions-foundation; https://www.regions.com/about-regions/community-engagement","Monetary donations ($34M+ in 400+ grants since 2018 via Regions Foundation); Employee matching gifts ($25-$1,000 annually); Volunteer hours (What A Difference A Day Makes paid volunteer day); Skills-based pro bono consulting; Financial education seminars; Event sponsorship (Regions Tradition PGA tournament - ~$10M to area charities)"
Vulcan Materials Company,"Construction Materials (Aggregates, Asphalt, Concrete)",Birmingham (Urban Center Drive),https://www.vulcanmaterials.com,https://www.linkedin.com/company/vulcan-materials-company,"United Way of Central Alabama; Leadership Birmingham; Alabama Appleseed; community food banks/food pantries; J.F. Drake State Technical College; St. Jude Children's Research Hospital; various K-12 schools; land conservancies; Foothills Conservancy of North Carolina","https://www.vulcanmaterials.com/social-responsibility/vulcan-foundation; https://www.vulcanmaterials.com/social-responsibility/vulcan-foundation/supported-organizations","Monetary donations (Vulcan Materials Company Foundation est. 1988); Employee matching gifts (up to $10,000 at 1:1; educational donations matched 2:1); Volunteer hours; Adopt-a-school/Partners in Education programs; Scholarships; Community event sponsorships; Wildlife habitat certifications"
Brasfield & Gorrie,"Construction (General Contracting, Design-Build)",Downtown Birmingham,https://www.brasfieldgorrie.com,https://www.linkedin.com/company/brasfield-&-gorrie,"United Way of Central Alabama; American Foundation for Suicide Prevention; American Red Cross; Christian Service Mission; Down Syndrome Alabama; M-Power Ministries; Magic Moments; The Amelia Center; Triumph Services; UAB Tuberous Sclerosis Clinic; Leadership Birmingham; Community Foundation of Greater Birmingham","https://www.brasfieldgorrie.com/office/birmingham/; https://www.cfbham.org/giving/corporateadvisedfund/","Monetary donations (Corporate Advised Fund with Community Foundation); Volunteer hours; Event sponsorship (Annual BBQ Cook-Off for Charity raising $92K+); In-kind services; Pacesetter Company for United Way"
Shipt,"Retail Technology (Delivery Marketplace)",Downtown Birmingham,https://www.shipt.com,https://www.linkedin.com/company/shipt,"Feeding America; Community Food Bank of Central Alabama; Birmingham Promise ($1M commitment); YWCA Central Alabama; Ronald McDonald House Charities of Alabama; UAB Live HealthSmart Alabama; Jones Valley Teaching Farm; Ed Farm; Neighborhood Bridges; Birmingham Corps; Urban Impact; Women's Foundation of Alabama; Goodr Foundation; Food For Our Journey; Hispanic Interest Coalition of Alabama (HICA)","https://www.shipt.com/community; https://corporate.shipt.com/news","Monetary donations ($4.5M+ to community organizations via grants & accelerator); Community Impact & Innovation Grants ($1.2M+ to 80+ orgs since 2022); $325K annual pledge to Feeding America (12.5M+ meals served); In-kind goods (grocery deliveries, memberships for families in need); Volunteer hours (11,000+ in 2024); Digital skills training (LadderUp program); Magic City Mentorship program; Small business accelerator"
Protective Life Corporation,"Insurance & Financial Services (Life Insurance, Annuities)",Mountain Brook / Birmingham,https://www.protective.com,https://www.linkedin.com/company/protective-life,"Children's of Alabama ($1M+ cumulative); United Way of Central Alabama; Ronald McDonald House Charities; Birmingham Promise; Live HealthSmart Alabama; Phillips Academy; Birmingham Botanical Gardens; PreSchool Partners; Birmingham Talks; YWCA Central Alabama; Protecting Good neighborhoods (Druid Hills, Fountain Heights, Norwood, Evergreen, Central City)","https://www.protective.com/about-us/community-involvement; https://www.protective.com/about-us/corporate-sustainability/community","Monetary donations ($4.5M to 192 nonprofits in 2022 alone; Protective Life Foundation est. 30+ years); Employee volunteer hours (half-day paid volunteer time annually); Event sponsorship (Children's Ball, Trick-or-Treat Parade); Protecting Good neighborhood initiative; Protective Stadium community programs; Board service; Named Outstanding Charitable Organization by Assoc. of Fundraising Professionals"
Alabama Power Company,Electric Utility,Downtown Birmingham,https://www.alabamapower.com,https://www.linkedin.com/company/alabama-power,"Alabama Wildlife Federation; Birmingham Zoo; Birmingham Museum of Art; Red Mountain Theatre; Historic Restoration Society; Marine Environmental Sciences Consortium; various K-12 schools statewide; veterans organizations; Daniels Center; Alabama Veterans Resource Center","https://www.powerofgood.com/; https://www.alabamapower.com/company/community-projects-and-programs.html","Monetary donations ($289.7M+ since Alabama Power Foundation founding in 1989); Foundation Grants ($10K+); Elevate Grants; Classroom Grants; Field Trip Grants; Good Roots tree-planting grants; Students to Stewards conservation education; Power to Play extracurricular grants; Volunteer hours (1M+ total via APSO & Energizers); Employee volunteer orgs (5,000+ APSO members, 17,000 hrs/year); Financial education via Regions Next Step program"
Blue Cross and Blue Shield of Alabama,Health Insurance,Hoover / Birmingham,https://www.bcbsal.org,https://www.linkedin.com/company/blue-cross-and-blue-shield-of-alabama,"Birmingham Promise ($2M donated since 2020); United Way of Central Alabama; National Fitness Campaign (outdoor fitness courts); Alabama Riverkeepers; various fine arts organizations in underserved communities; Alabama state parks programs; K-6 schools statewide (Be Healthy School Grants)","https://www.bcbsal.org/web/community-involvement.html; https://community.bcbsal.org/what-we-do/the-caring-foundation","Monetary donations (The Caring Foundation est. 1990; Diamond Impact Award grants); Be Healthy School Grants ($250K - $10K each to 25 schools annually); Corporate giving & sponsorships year-round; Employee United Way contributions; Internship programs (Birmingham Promise); Health & wellness community initiatives"
EBSCO Industries,"Diversified (Information Services, Real Estate, Outdoor Products)",Hoover / Birmingham,https://www.ebscoind.com,https://www.linkedin.com/company/ebsco-industries,"Albert Schweitzer Fellowship of Alabama; Banks Academy; Better Basics; Childcare Resources; College Choice Foundation; Coosa Riverkeeper; GASP; Girls Inc. of Central Alabama; Grace Klein Community; Holy Family Cristo Rey High School; Magic City Harvest; My Sister's Place; Second Shift; Space One Eleven; Spring Valley School; Vidal Access; Leadership Birmingham; Alabama Appleseed","https://ebscocommunityimpact.com/; https://www.ebscoind.com/communityimpact2019/","Monetary donations (EBSCO Community Impact grants $2K-$16K per org; annual grant cycle since 2018); Employee-led volunteer service projects; Scholarships for Alabama colleges and universities; Focus areas: education, environment, social services, health, arts"
Coca-Cola Bottling Company UNITED,"Beverage Manufacturing & Distribution",Birmingham (Headquarters),https://cocacolaunited.com,https://www.linkedin.com/company/coca-cola-bottling-company-united,"United Way of Central Alabama (Pacesetter); Birmingham Promise; Children's of Alabama (founding family connection; Regions Tradition presenting sponsor - $25M raised); KultureCity; Live HealthSmart Alabama ($250K for Community Leadership Academies); Make-A-Wish Alabama; Community Food Bank of Central Alabama; Community Kitchens of Birmingham; Restoration Academy; Alabama Appleseed","https://cocacolaunited.com/our-community/; https://cocacolaunited.com/community-giving-guidelines-request-form-united/","Monetary donations ($250K to Live HealthSmart Alabama; ongoing multi-org support); Product & in-kind donations (van donated to Community Kitchens; 1,000+ lbs goods to Make-A-Wish/ATS); Volunteer hours; Event sponsorship (Regions Tradition PGA tournament); Holiday meal programs with Piggly Wiggly & Community Food Bank; Community advocacy"
McWane Inc.,"Manufacturing (Iron & Steel Pipe, Valves, Hydrants)",Birmingham (Headquarters),https://www.mcwane.com,https://www.linkedin.com/company/mcwane-inc.,"McWane Science Center (founding namesake); Community Foundation of Greater Birmingham; Leadership Birmingham; Jimmie Hale Mission; various hunger relief organizations; housing nonprofits; wellness programs; local schools (skilled trade scholarships)","https://www.mcwane.com/responsibility/social-impact/; https://mcwane.org/","Monetary donations (millions annually via McWane Foundation; focus on hunger, wellness, housing); Dependent scholarships for employees; Skilled trade scholarships; Volunteer hours; Community partnerships for sustainable solutions; McWane Science Center founding and ongoing support"
