Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
Hyundai Motor Manufacturing Alabama (HMMA),Automotive Manufacturing,Montgomery (700 Hyundai Blvd),https://www.hmmausa.com,https://www.linkedin.com/company/hyundai-motor-manufacturing-alabama,"River Region United Way; Heart of Alabama Food Bank; Montgomery Public Schools; Selma City Schools; Alabama Shakespeare Festival; Alabama State University; Marine Corps Toys for Tots; Montgomery County Fair; local robotics/STEM programs (HIRE initiative)","https://www.hmmausa.com/community-relations/charitable-giving/; https://www.hmmausa.com/community/","Monetary donations (~$750,000/year to community organizations); $363,000+ pledged to United Ways of Alabama (2025); $25,000 to MPS Back to School Bash (2025); $50,000 Genesis Gives grant to Alabama State University; $50,000 Genesis Inspiration Foundation grant to Alabama Shakespeare Festival; $500,000+ invested in local robotics education (HIRE program); School supply & uniform drives (20+ years); Employee volunteer hours; In-kind donations (face masks, PPE during COVID); $14M Care Center for team members"
Alfa Insurance / Alabama Farmers Federation,Insurance & Financial Services,Montgomery (2108 E South Blvd),https://www.alfainsurance.com,https://www.linkedin.com/company/alfa-insurance,"Children's of Alabama; The Grove (foster care nonprofit); Meals on Wheels; American Cancer Society Relay for Life; River Region United Way; Alabama 4-H; Alabama FFA; Alabama Farmers Agriculture Foundation; various youth development and arts organizations","https://www.alfainsurance.com/about-alfa/caring-for-our-community; https://www.alfainsurance.com/about-alfa/caring-for-our-community/alfa-cares-about-education/2025-scholarship-winners","Monetary donations ($7M+ given to ~150 organizations in 2025); Alfa Foundation Scholarships ($1,150,000 to students since 2014; $100,000/year to 100 students); $25,000 matching donation to Children's of Alabama telethon; Meals on Wheels Corporate Route Partner (since 2015; employees prepare & deliver meals); Employee volunteerism (The Grove cleanup, Relay for Life); Community development; Health & wellness; Agriculture & education support"
Wind Creek Hospitality / Poarch Band of Creek Indians,Gaming & Hospitality,Montgomery (Wind Creek Montgomery casino),https://windcreek.com,https://www.linkedin.com/company/poarch-creek-indians,"Alabama Shakespeare Festival; Alabama Food Bank Association; Heart of Alabama Food Bank; Southeastern Livestock Exposition; Alabama Junior Livestock Expo; Children First; Alabama Kidney Foundation; Magic Moments; I AM ALS; Alabama Coastal Cleanup; American Red Cross; Madison Visionary Partners; U.S. Space & Rocket Center; local schools & first responders","https://windcreek.com/community-support; https://pci-nsn.gov/our-story/charitable-giving/","Monetary donations ($85M+ to community organizations since 2013); $750,000 to Atmore Community Hospital; $250,000 to I AM ALS; $250,000 to Madison Visionary Partners senior wing; $150,000 to Southeastern Livestock Expo scholarships; $50,000 to Flatwood community (Montgomery); $180,000 to pay funeral costs for Lee County tornado victims (23 funerals); Donation drives; Food bank support; Sponsorship of cultural institutions; Funds Alabama Council on Compulsive Gambling; Schools & first responder support"
Baptist Health,Healthcare,Montgomery (multiple locations),https://www.baptistfirst.org,,"River Region United Way; Central Alabama Community Foundation; various 501(c)(3) organizations aligned with Community Health Needs Assessment","https://baptistfoundation.org/; https://www.baptistonline.org/about/community/giving-guidelines","Baptist Health Care Foundation (est. 1972; 501(c)(3)); Monetary donations to health-focused nonprofits; Scholarships (allied health, nursing, medicine, general fields); NICU equipment & expansion funding; Team member emergency assistance fund; In-kind gifts (seminars, health fairs, board participation, events); Employee engagement & volunteerism; Community health programs; Charitable giving application period Jan 1 - May 31 annually"
MAX Credit Union,Financial Services / Credit Union,Montgomery (400 Eastdale Circle),https://www.mymax.com,https://www.linkedin.com/company/max-credit-union,"Children's of Alabama; Alabama Shakespeare Festival; Montgomery Museum of Fine Arts; Girl Scouts of Montgomery; Boy Scouts of Southern Alabama; Storybook Farm; Prattville Field of Dreams; Exceptional Foundation of East Alabama; Alabama Wildlife Federation; Mercy House; Common Ground (Troy); Miracle League (Pike County)","https://www.mymax.com/community-matters; https://www.mymax.com/connect/community-matters/max4kids-foundation","MAX4Kids Foundation (est. 2001; $1.5M+ donated to children's charities & scholarships); $100,000+ cumulative to Children's of Alabama; $33,000 to 10 local nonprofits (2024); $50,000 to 11 nonprofits (2023); MAX4Kids Scholarship Program ($745,000+ awarded; 11 students x $5,000 in 2025); Charity Golf Tournament ($47,000 raised in 2024); Charity Clay Shoot; Employee-driven fundraisers; Community giving grants & sponsorships"
Rheem Manufacturing Company,Manufacturing (Water Heaters / HVAC),Montgomery (800 Interstate Park Dr),https://www.rheem.com,https://www.linkedin.com/company/rheem-manufacturing,"Habitat for Humanity; Marine Corps Toys for Tots; River Region United Way; Prattville YMCA; Joy to Life Foundation Walk of Life; various Montgomery-area nonprofits","https://www.rheem.com/water-heating/articles/reflecting-on-milestones-for-the-50th-anniversary-of-the-rheem-montgomery-plant/","Monetary donations to dozens of Montgomery-area nonprofits; Heart of Comfort employee volunteer program; Equipment donations to Habitat for Humanity; Hands-on mentoring; Volunteer hours for charitable causes; United Way campaign contributions; School & community STEM support; 900+ employees engaged in community service; Montgomery presence since 1972 (50+ years of giving)"
Alabama Power Company,Electric Utility,Montgomery (statewide operations; HQ Birmingham),https://www.alabamapower.com,https://www.linkedin.com/company/alabama-power,"River Region United Way; Alabama Shakespeare Festival; Montgomery Museum of Fine Arts; K-12 schools across Montgomery region; veterans organizations; Alabama Wildlife Federation; local hospitals & libraries; various environmental & community nonprofits","https://www.alabamapower.com/company/community-projects-and-programs.html; https://powerofgood.com/","Alabama Power Foundation ($289.7M+ awarded since 1989; Alabama's largest corporate foundation); Foundation Grants ($10K+); Elevate Grants; Classroom Grants; Field Trip Grants; Power to Play; Good Roots tree planting; Students to Stewards; Alabama Power Service Organization (APSO - 5,000+ members; 17,000 volunteer hours/year; 1M+ total hours); Energizers retiree volunteer group; $885K+ to veterans orgs since 2021; Battle Buddy program; Environmental stewardship programs"
Jackson Hospital,Healthcare (Nonprofit Hospital),Montgomery (1725 Pine St),https://www.jackson.org,,"Central Alabama Community Foundation; Montgomery Whitewater; healthcare scholarship students; various River Region health initiatives","https://www.jackson.org/foundation/about-us/","Jackson Hospital Foundation (40+ years; not-for-profit); $3M Family Birth Center renovation; Advanced medical equipment funding; Healthcare scholarships for students; Community health education programs (Walk with a Doc at Montgomery Whitewater); Interfaith Chapel Fund; Community Health Needs Assessment & programming; Board service & community partnerships; Free/reduced-cost care regardless of ability to pay"
Publix Super Markets,Grocery Retail,Montgomery (multiple store locations),https://www.publix.com,https://www.linkedin.com/company/publix-super-markets,"Heart of Alabama Food Bank; Habitat for Humanity; Feeding America; Children's Miracle Network Hospitals; United Way; March of Dimes; Special Olympics; Meals on Wheels; various local youth & education nonprofits","https://publixcharities.org/; https://csr.publix.com/community/","Publix Super Markets Charities ($78M+ to hunger programs since 2015; $11M to food banks in 2024); $335,000 to Heart of Alabama Food Bank (2024) for refrigerated trucks/vans; 1 billion+ pounds of food donated from stores; 150M+ pounds fresh produce donated since 2020; $15M to 300+ housing nonprofits (Habitat for Humanity); George W. Jenkins Scholarship program; $73M raised for Children's Miracle Network (33-year partnership); 53,000+ associate volunteer hours (2024); In-store donation campaigns"
Central Alabama Community Foundation (CACF),Philanthropy / Community Foundation,Montgomery (34 Commerce St),https://cacfinfo.org,https://www.linkedin.com/company/central-alabama-community-foundation,"Alabama Shakespeare Festival; Montgomery Whitewater Foundation; Montgomery Fire Rescue Foundation; Churchill Academy; Red Bluff Community Fund; Alabama Women's Tribute Statue Commission; Mental Health grantees; Dean B. Albritton Memorial Scholarship recipients; Give Smart Montgomery Fund recipients; numerous Montgomery County nonprofits","https://cacfinfo.org/give/; https://cacfinfo.org/","Hub for corporate and individual charitable giving in Central Alabama; Donor-advised funds; Corporate advised funds; Scholarship administration; Field-of-interest grants; Designated funds for specific nonprofits; Shelter & Social Services Grants; Mental Health Grants; Mary L. grant program; Affiliate foundations (Elmore County Community Foundation); Connects businesses to nonprofit partners; Endowment management for nonprofit sustainability"
