Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
Mercedes-Benz U.S. International (MBUSI),Automotive Manufacturing,"Tuscaloosa County (1 Mercedes Dr, Vance AL 35490)",https://mbusi.com,https://www.linkedin.com/company/mercedes-benz-u-s-international,"Tuscaloosa Habitat for Humanity; Greater Birmingham Habitat for Humanity; YMCA of Tuscaloosa; Black Warrior Riverkeeper; Juvenile Diabetes Research Foundation (JDRF); Ronald McDonald House (Birmingham & DCH Family Room); American Cancer Society (Making Strides); Lean On: Alabama Women's Conference; United Way of West Alabama; Vance Elementary School; Brookwood Middle School; Tuscaloosa Career & Technology Academy; University of Alabama (AMP Center & TRIP Lab); West Alabama Works; Community Foundation of West Alabama","https://mbusi.com/about/corporate-info/philanthropy; https://autosdriveamerica.org/mercedes-benz/","Monetary donations ($12M+ to local community since 1993); $250,000 to YMCA Child Development Room (2015); $100,000 COVID-19 relief via CFWA (2020); $700,000+ in donated vehicles (15 SUVs) to schools & colleges; $20,000+ raised for Making Strides breast cancer walk; Employee volunteer hours (6-week annual Habitat builds); Adopt-A-School partnerships; STEM education (Mechatronics, TECH, Youth Apprenticeship programs); In-kind donations (PPE during COVID); Earthfest lead sponsorship"
Bryant Bank,Banking/Financial Services,"Tuscaloosa (Downtown & multiple locations)",https://www.bryantbank.com,https://www.linkedin.com/company/bryantbank,"American Cancer Society (Relay for Life); American Heart Association (Heart Walk); West Alabama Food Bank; Big Brothers Big Sisters of West Alabama; Caring Days; Junior League of Tuscaloosa; Exceptional Foundation; Greater Faith Tabernacle Church; United Way of West Alabama; 25+ nonprofits annually via Turning Banking into Thanking","https://www.bryantbank.com/about-us/putting-care-into-action-2/; https://www.bryantbank.com/resources/community-room/","Monetary donations ($50,000 to West Alabama Food Bank expansion); Annual 'Turning Banking into Thanking' initiative (since 2017) honoring 25 nonprofits statewide; Employee volunteer hours (classrooms, boards, community events); $200,000+ raised at Heart Walk events; Holiday food drives; Community Room provided free to nonprofits; Event sponsorships (Relay for Life, Northport Bunny Trail); Mary Ann and Sam Phelps Community Service Award for volunteerism"
The Westervelt Company,Land Management/Wood Products/Environmental Mitigation,"Tuscaloosa (1400 Jack Warner Parkway N.E.)",https://westervelt.com,https://www.linkedin.com/company/the-westervelt-company,"Saban Center (Earth and Sustainability Gallery naming partner); Community Foundation of West Alabama; United Way of West Alabama; local education and arts organizations","https://westervelt.com/westervelt-cares/westervelt-foundation; https://sabancenter.org/2024/05/saban-center-forges-strategic-partnership-with-the-westervelt-company/","Monetary donations via Westervelt Foundation (established 2010); Major naming partnership with Saban Center's Earth and Sustainability Gallery; Charitable giving administered through Community Foundation of West Alabama; Capital campaign contributions; Employee volunteerism programs; STEM and environmental education support; Nearly a century of community presence in Tuscaloosa"
DCH Health System,Healthcare,"Tuscaloosa (809 University Blvd E, Tuscaloosa AL 35401)",https://www.dchsystem.com,https://www.linkedin.com/company/dch-health-system,"DCH Foundation; March of Dimes; American Heart Association; American Cancer Society; United Way of West Alabama (Day of Action); Habitat for Humanity; Adopt-A-School program; University of Alabama (College of Community Health Sciences & Capstone College of Nursing); Lewis & Faye Manderson Cancer Center patient assistance","https://www.dchsystem.com/the-dch-foundation/; https://www.dchsystem.com/about-us/community-involvement/","DCH Foundation (40+ years of Foundation Ball fundraising; 20+ years of BBQ and Blue Jeans; Play Pink breast cancer fund); Employee volunteer hours (United Way Day of Action, Habitat for Humanity builds); Free community health screenings (prostate, breast cancer); Health fairs and education programs in schools, churches, and civic organizations; Support groups for special needs; Indigent care ($17 in care for every $1 received from county sales tax); Healthcare scholarships; Nursing and medical education partnerships"
Brose Tuscaloosa,Automotive Parts Manufacturing,"Tuscaloosa County",https://www.brose.com,https://www.linkedin.com/company/brose-group,"SmileTrain; Gleaners Food Bank; Ozone House; FIRST Robotics; Square One Education; Modern Manufacturing for Excellence program; disaster relief funds; local school initiatives","https://asiwcf.org/brose-work-safe-work-proud/","Monetary donations via Charity Jeans Friday employee giving program; Employee charitable contributions to multiple charities year-round; FIRST Robotics school competition sponsorship; Square One STEM education programs; Workforce development through Modern Manufacturing initiative; Disaster relief fund contributions; In-kind support for local school programs"
Michelin North America (Tuscaloosa),Tire Manufacturing,"Tuscaloosa County",https://www.michelin.com,https://www.linkedin.com/company/michelin,"Local Tuscaloosa schools (Adopt-A-School pioneer); West Alabama Worlds of Work Career Expo; United Way of West Alabama; local charitable causes","https://westalabamachamber.com/aas","Monetary donations ($175,000+ to charitable causes in the area); One of the first Adopt-A-School partners in Tuscaloosa; Workforce development sponsorships and involvement; West Alabama Worlds of Work Career Expo support; School program funding; Employee volunteer hours"
Hunt Refining Company,Petroleum Refining,"Tuscaloosa (2200 Jack Warner Pkwy Suite 400)",https://www.huntrefining.com,https://www.linkedin.com/company/hunt-refining-company,"United Way of West Alabama (No. 1 corporate donor in West Alabama); Junior Achievement of Tuscaloosa County; The Salvation Army (Angel Tree); March of Dimes (Blue Jeans for Babies); Oakdale Elementary School (Adopt-A-School)","https://www.huntenergy.com/people-first/community/","Monetary donations (No. 1 corporate donor to United Way of West Alabama); Company matching funds for employee United Way campaign; Junior Achievement Bowling Classic sponsorship; Salvation Army Angel Tree toy drives; March of Dimes Blue Jeans for Babies fundraiser; Adopt-A-School partnership with Oakdale Elementary (toy donations, mentorship); Employee volunteer hours"
Alabama Power Company,Electric Utility,"Tuscaloosa (multiple service locations)",https://www.alabamapower.com,https://www.linkedin.com/company/alabama-power,"Tuscaloosa County Schools (K12 Agriscience Farm); Tuscaloosa Civil Rights History and Reconciliation Foundation; United Way of West Alabama; Black Warrior Riverkeeper (Renew Our Rivers); local nonprofits across five focus areas via Alabama Power Foundation","https://www.powerofgood.com/; https://www.alabamapower.com/company/community-projects-and-programs.html","Alabama Power Foundation ($289.7M+ awarded since 1989 statewide); Foundation grants to Tuscaloosa Civil Rights History and Reconciliation Foundation; Tuscaloosa County Schools K12 Agriscience Farm grant; Good Roots grants (up to $1,000 for tree planting/beautification); Gateway grants (up to $2,500 for economic development); Elevate grants ($5,000 for workforce development); Alabama Power Service Organization (APSO) volunteer hours (17,000+ annually statewide); Energizers retiree volunteer group; Renew Our Rivers cleanup events"
Phifer Incorporated,Manufacturing (Insect Screening/Fabrics),"Tuscaloosa (4400 Reese Phifer Ave)",https://www.phifer.com,https://www.linkedin.com/company/phifer-incorporated,"United Way of West Alabama; Reese Phifer Jr. Memorial Foundation (49 grants annually); local charitable organizations; employee and family wellness initiatives","https://www.phifer.com/company-info/","Monetary donations via Reese Phifer Jr. Memorial Foundation (49 grants annually including to United Way of West Alabama); PhiferCares Clinic & Pharmacy (free primary care, prescriptions, vaccinations for employees and families since 2019); Employee scholarship fund; Summer camp for employees' families; Chiropractic care and orthotics at no cost to workers; Workforce development and community reinvestment; Founded in 1952 with deep Tuscaloosa roots"
Community Foundation of West Alabama,Philanthropy/Grantmaking,"Northport/Tuscaloosa (P.O. Box 3033, Tuscaloosa AL 35403)",https://www.thecfwa.org,,"Child Abuse Prevention Services; Tuscaloosa Children's Center; IMPACT Alabama; KidOne Transport; Alabama Shakespeare Festival; Druid City Garden Project; Tuscaloosa Symphony Orchestra; Theatre Tuscaloosa; School Yard Roots; Shelton State Community College; Family Counseling Service; Tuscaloosa Children's Theatre; Success by Six (United Way); Mt Vernon Community Club; Strings in Schools; Newbern Library","https://www.thecfwa.org; https://druidcityliving.com/index.php/community/item/2912-community-foundation-of-west-alabama-awards-spring-grants","$20M+ distributed to charitable causes since founding in 1999; $234,000+ in community grants to nonprofits; $1M+ in grants per year; Biannual grant cycles (up to $1,500 per grant); Educational grants (up to $500); Elois Zeanah Endowed Scholarship administration; Pillars of West Alabama recognition program; Manages charitable funds for companies like The Westervelt Company; Serves 9-county region (Bibb, Fayette, Greene, Hale, Lamar, Marengo, Pickens, Sumter, Tuscaloosa)"
